,Date_Time,kWh,day_of_month,month,day_of_week,hour,temp,rain,cloudcover,radiatiation,windspeed_10m,windspeed_100m
0,2019-01-01 00:00:00,79.672,1,1,1,0,6.2,0.0,100.0,0.0,10.2,19.4
1,2019-01-01 01:00:00,107.47,1,1,1,1,6.0,0.0,100.0,0.0,10.9,20.7
2,2019-01-01 02:00:00,98.158,1,1,1,2,5.8,0.0,100.0,0.0,12.3,22.5
3,2019-01-01 03:00:00,92.866,1,1,1,3,5.4,0.0,100.0,0.0,12.9,23.1
4,2019-01-01 04:00:00,88.191,1,1,1,4,5.2,0.0,100.0,0.0,13.9,25.0
5,2019-01-01 05:00:00,77.841,1,1,1,5,5.1,0.0,100.0,0.0,14.1,24.8
6,2019-01-01 06:00:00,69.744,1,1,1,6,5.0,0.0,100.0,0.0,15.0,26.4
7,2019-01-01 07:00:00,74.203,1,1,1,7,5.8,0.0,100.0,0.0,16.3,28.5
8,2019-01-01 08:00:00,76.322,1,1,1,8,5.8,0.0,100.0,3.0,17.7,29.9
9,2019-01-01 09:00:00,84.423,1,1,1,9,5.8,0.0,90.0,18.0,18.7,30.2
10,2019-01-01 10:00:00,95.29,1,1,1,10,5.7,0.0,90.0,36.0,18.0,29.5
11,2019-01-01 11:00:00,105.034,1,1,1,11,5.7,0.1,99.0,64.0,18.5,30.4
12,2019-01-01 12:00:00,136.119,1,1,1,12,5.6,0.1,100.0,55.0,19.8,32.4
13,2019-01-01 13:00:00,146.117,1,1,1,13,5.4,0.1,100.0,39.0,21.2,34.1
14,2019-01-01 14:00:00,141.127,1,1,1,14,5.3,0.2,100.0,20.0,21.1,34.8
15,2019-01-01 15:00:00,125.543,1,1,1,15,5.2,0.3,100.0,9.0,21.8,35.8
16,2019-01-01 16:00:00,117.282,1,1,1,16,5.3,0.3,100.0,0.0,21.6,35.6
17,2019-01-01 17:00:00,138.216,1,1,1,17,5.4,0.2,100.0,0.0,22.0,36.0
18,2019-01-01 18:00:00,150.569,1,1,1,18,5.4,0.3,83.0,0.0,23.8,39.1
19,2019-01-01 19:00:00,155.798,1,1,1,19,4.9,0.6,51.0,0.0,22.9,38.5
20,2019-01-01 20:00:00,167.012,1,1,1,20,4.3,0.0,68.0,0.0,21.9,37.2
21,2019-01-01 21:00:00,151.991,1,1,1,21,3.7,0.1,70.0,0.0,21.4,36.4
22,2019-01-01 22:00:00,136.573,1,1,1,22,3.1,0.2,100.0,0.0,19.2,33.5
23,2019-01-01 23:00:00,131.682,1,1,1,23,2.5,0.2,100.0,0.0,20.1,33.4
24,2019-01-02 00:00:00,118.305,2,1,2,0,2.1,0.1,100.0,0.0,21.1,35.0
25,2019-01-02 01:00:00,99.546,2,1,2,1,1.6,0.1,69.0,0.0,22.1,36.7
26,2019-01-02 02:00:00,91.177,2,1,2,2,1.4,0.0,93.0,0.0,22.3,37.4
27,2019-01-02 03:00:00,83.899,2,1,2,3,1.4,0.0,98.0,0.0,22.3,36.9
28,2019-01-02 04:00:00,83.456,2,1,2,4,1.7,0.0,94.0,0.0,22.7,37.5
29,2019-01-02 05:00:00,79.47,2,1,2,5,2.1,0.0,97.0,0.0,22.5,37.0
30,2019-01-02 06:00:00,77.223,2,1,2,6,2.4,0.0,59.0,0.0,20.5,34.2
31,2019-01-02 07:00:00,94.297,2,1,2,7,1.9,0.0,41.0,0.0,17.7,30.9
32,2019-01-02 08:00:00,101.377,2,1,2,8,1.7,0.0,45.0,11.0,16.6,29.0
33,2019-01-02 09:00:00,101.576,2,1,2,9,2.1,0.0,49.0,73.0,17.6,30.9
34,2019-01-02 10:00:00,93.215,2,1,2,10,2.4,0.1,74.0,140.0,17.6,26.6
35,2019-01-02 11:00:00,108.457,2,1,2,11,3.0,0.0,59.0,193.0,19.1,28.7
36,2019-01-02 12:00:00,104.258,2,1,2,12,2.8,0.2,48.0,201.0,21.4,32.4
37,2019-01-02 13:00:00,113.152,2,1,2,13,2.6,0.0,18.0,167.0,21.1,33.0
38,2019-01-02 14:00:00,121.873,2,1,2,14,2.4,0.0,7.0,134.0,20.0,32.2
39,2019-01-02 15:00:00,110.922,2,1,2,15,1.9,0.0,12.0,64.0,17.9,30.1
40,2019-01-02 16:00:00,105.336,2,1,2,16,1.2,0.0,16.0,4.0,16.5,29.3
41,2019-01-02 17:00:00,125.144,2,1,2,17,0.7,0.0,35.0,0.0,15.7,28.7
42,2019-01-02 18:00:00,149.256,2,1,2,18,0.4,0.0,52.0,0.0,15.7,28.0
43,2019-01-02 19:00:00,162.987,2,1,2,19,0.4,0.0,76.0,0.0,14.8,26.6
44,2019-01-02 20:00:00,175.93,2,1,2,20,0.2,0.0,92.0,0.0,14.3,25.5
45,2019-01-02 21:00:00,162.534,2,1,2,21,-0.0,0.0,87.0,0.0,13.9,24.0
46,2019-01-02 22:00:00,147.277,2,1,2,22,-0.4,0.0,63.0,0.0,11.9,21.6
47,2019-01-02 23:00:00,147.225,2,1,2,23,-0.7,0.0,44.0,0.0,10.9,20.3
48,2019-01-03 00:00:00,122.672,3,1,3,0,-0.9,0.0,71.0,0.0,12.0,21.2
49,2019-01-03 01:00:00,104.328,3,1,3,1,-1.1,0.0,71.0,0.0,13.2,23.0
50,2019-01-03 02:00:00,97.895,3,1,3,2,-1.3,0.0,42.0,0.0,12.4,21.9
51,2019-01-03 03:00:00,81.839,3,1,3,3,-1.5,0.0,21.0,0.0,11.4,20.8
52,2019-01-03 04:00:00,78.088,3,1,3,4,-1.7,0.0,14.0,0.0,10.8,20.8
53,2019-01-03 05:00:00,75.024,3,1,3,5,-2.0,0.0,4.0,0.0,10.8,20.8
54,2019-01-03 06:00:00,74.661,3,1,3,6,-2.2,0.0,18.0,0.0,9.2,19.4
55,2019-01-03 07:00:00,94.187,3,1,3,7,-2.6,0.0,28.0,0.0,8.6,17.6
56,2019-01-03 08:00:00,102.036,3,1,3,8,-2.7,0.0,25.0,12.0,9.0,17.1
57,2019-01-03 09:00:00,106.323,3,1,3,9,-1.2,0.0,10.0,88.0,9.4,17.1
58,2019-01-03 10:00:00,102.026,3,1,3,10,-0.0,0.0,27.0,168.0,10.0,14.9
59,2019-01-03 11:00:00,97.796,3,1,3,11,0.8,0.0,48.0,211.0,10.9,15.6
60,2019-01-03 12:00:00,102.18,3,1,3,12,1.6,0.0,72.0,205.0,12.8,18.2
61,2019-01-03 13:00:00,115.194,3,1,3,13,1.8,0.0,59.0,152.0,12.3,18.4
62,2019-01-03 14:00:00,108.833,3,1,3,14,1.4,0.0,54.0,111.0,10.5,17.4
63,2019-01-03 15:00:00,110.686,3,1,3,15,0.6,0.0,33.0,57.0,7.4,17.1
64,2019-01-03 16:00:00,114.102,3,1,3,16,-0.2,0.0,34.0,4.0,8.2,18.8
65,2019-01-03 17:00:00,121.681,3,1,3,17,-0.8,0.0,14.0,0.0,8.4,19.9
