,Date_Time,kWh,day_of_month,month,day_of_week,hour,temp,rain,cloudcover,radiatiation,windspeed_10m,windspeed_100m
0,2019-01-01 00:00:00,58.616,1,1,1,0,6.2,0.0,100.0,0.0,10.2,19.4
1,2019-01-01 01:00:00,69.623,1,1,1,1,6.0,0.0,100.0,0.0,10.9,20.7
2,2019-01-01 02:00:00,65.881,1,1,1,2,5.8,0.0,100.0,0.0,12.3,22.5
3,2019-01-01 03:00:00,58.157,1,1,1,3,5.4,0.0,100.0,0.0,12.9,23.1
4,2019-01-01 04:00:00,58.368,1,1,1,4,5.2,0.0,100.0,0.0,13.9,25.0
5,2019-01-01 05:00:00,53.772,1,1,1,5,5.1,0.0,100.0,0.0,14.1,24.8
6,2019-01-01 06:00:00,50.762,1,1,1,6,5.0,0.0,100.0,0.0,15.0,26.4
7,2019-01-01 07:00:00,47.694,1,1,1,7,5.8,0.0,100.0,0.0,16.3,28.5
8,2019-01-01 08:00:00,51.557,1,1,1,8,5.8,0.0,100.0,3.0,17.7,29.9
9,2019-01-01 09:00:00,66.553,1,1,1,9,5.8,0.0,90.0,18.0,18.7,30.2
10,2019-01-01 10:00:00,74.652,1,1,1,10,5.7,0.0,90.0,36.0,18.0,29.5
11,2019-01-01 11:00:00,88.76,1,1,1,11,5.7,0.1,99.0,64.0,18.5,30.4
12,2019-01-01 12:00:00,109.035,1,1,1,12,5.6,0.1,100.0,55.0,19.8,32.4
13,2019-01-01 13:00:00,123.504,1,1,1,13,5.4,0.1,100.0,39.0,21.2,34.1
14,2019-01-01 14:00:00,118.078,1,1,1,14,5.3,0.2,100.0,20.0,21.1,34.8
15,2019-01-01 15:00:00,116.024,1,1,1,15,5.2,0.3,100.0,9.0,21.8,35.8
16,2019-01-01 16:00:00,112.882,1,1,1,16,5.3,0.3,100.0,0.0,21.6,35.6
17,2019-01-01 17:00:00,119.905,1,1,1,17,5.4,0.2,100.0,0.0,22.0,36.0
18,2019-01-01 18:00:00,133.574,1,1,1,18,5.4,0.3,83.0,0.0,23.8,39.1
19,2019-01-01 19:00:00,140.316,1,1,1,19,4.9,0.6,51.0,0.0,22.9,38.5
20,2019-01-01 20:00:00,121.328,1,1,1,20,4.3,0.0,68.0,0.0,21.9,37.2
21,2019-01-01 21:00:00,109.624,1,1,1,21,3.7,0.1,70.0,0.0,21.4,36.4
22,2019-01-01 22:00:00,102.724,1,1,1,22,3.1,0.2,100.0,0.0,19.2,33.5
23,2019-01-01 23:00:00,83.251,1,1,1,23,2.5,0.2,100.0,0.0,20.1,33.4
24,2019-01-02 00:00:00,71.347,2,1,2,0,2.1,0.1,100.0,0.0,21.1,35.0
25,2019-01-02 01:00:00,56.988,2,1,2,1,1.6,0.1,69.0,0.0,22.1,36.7
26,2019-01-02 02:00:00,53.325,2,1,2,2,1.4,0.0,93.0,0.0,22.3,37.4
27,2019-01-02 03:00:00,50.329,2,1,2,3,1.4,0.0,98.0,0.0,22.3,36.9
28,2019-01-02 04:00:00,44.339,2,1,2,4,1.7,0.0,94.0,0.0,22.7,37.5
29,2019-01-02 05:00:00,52.014,2,1,2,5,2.1,0.0,97.0,0.0,22.5,37.0
30,2019-01-02 06:00:00,54.438,2,1,2,6,2.4,0.0,59.0,0.0,20.5,34.2
31,2019-01-02 07:00:00,66.078,2,1,2,7,1.9,0.0,41.0,0.0,17.7,30.9
32,2019-01-02 08:00:00,72.915,2,1,2,8,1.7,0.0,45.0,11.0,16.6,29.0
