,kWh,day_of_month,month,day_of_week,hour
2019-01-01 00:00:00,79.672,1,1,1,0
2019-01-01 01:00:00,107.47,1,1,1,1
2019-01-01 02:00:00,98.158,1,1,1,2
2019-01-01 03:00:00,92.866,1,1,1,3
2019-01-01 04:00:00,88.191,1,1,1,4
2019-01-01 05:00:00,77.841,1,1,1,5
2019-01-01 06:00:00,69.744,1,1,1,6
2019-01-01 07:00:00,74.203,1,1,1,7
2019-01-01 08:00:00,76.322,1,1,1,8
2019-01-01 09:00:00,84.423,1,1,1,9
2019-01-01 10:00:00,95.29,1,1,1,10
2019-01-01 11:00:00,105.034,1,1,1,11
2019-01-01 12:00:00,136.119,1,1,1,12
2019-01-01 13:00:00,146.117,1,1,1,13
2019-01-01 14:00:00,141.127,1,1,1,14
2019-01-01 15:00:00,125.543,1,1,1,15
2019-01-01 16:00:00,117.282,1,1,1,16
2019-01-01 17:00:00,138.216,1,1,1,17
2019-01-01 18:00:00,150.569,1,1,1,18
2019-01-01 19:00:00,155.798,1,1,1,19
2019-01-01 20:00:00,167.012,1,1,1,20
2019-01-01 21:00:00,151.991,1,1,1,21
2019-01-01 22:00:00,136.573,1,1,1,22
2019-01-01 23:00:00,131.682,1,1,1,23
2019-01-02 00:00:00,118.305,2,1,2,0
2019-01-02 01:00:00,99.546,2,1,2,1
2019-01-02 02:00:00,91.177,2,1,2,2
2019-01-02 03:00:00,83.899,2,1,2,3
2019-01-02 04:00:00,83.456,2,1,2,4
2019-01-02 05:00:00,79.47,2,1,2,5
2019-01-02 06:00:00,77.223,2,1,2,6
2019-01-02 07:00:00,94.297,2,1,2,7
2019-01-02 08:00:00,101.377,2,1,2,8
2019-01-02 09:00:00,101.576,2,1,2,9
2019-01-02 10:00:00,93.215,2,1,2,10
2019-01-02 11:00:00,108.457,2,1,2,11
2019-01-02 12:00:00,104.258,2,1,2,12
2019-01-02 13:00:00,113.152,2,1,2,13
2019-01-02 14:00:00,121.873,2,1,2,14
2019-01-02 15:00:00,110.922,2,1,2,15
2019-01-02 16:00:00,105.336,2,1,2,16
2019-01-02 17:00:00,125.144,2,1,2,17
2019-01-02 18:00:00,149.256,2,1,2,18
2019-01-02 19:00:00,162.987,2,1,2,19
2019-01-02 20:00:00,175.93,2,1,2,20
2019-01-02 21:00:00,162.534,2,1,2,21
2019-01-02 22:00:00,147.277,2,1,2,22
2019-01-02 23:00:00,147.225,2,1,2,23
2019-01-03 00:00:00,122.672,3,1,3,0
2019-01-03 01:00:00,104.328,3,1,3,1
2019-01-03 02:00:00,97.895,3,1,3,2
2019-01-03 03:00:00,81.839,3,1,3,3
2019-01-03 04:00:00,78.088,3,1,3,4
2019-01-03 05:00:00,75.024,3,1,3,5
2019-01-03 06:00:00,74.661,3,1,3,6
2019-01-03 07:00:00,94.187,3,1,3,7
2019-01-03 08:00:00,102.036,3,1,3,8
2019-01-03 09:00:00,106.323,3,1,3,9
2019-01-03 10:00:00,102.026,3,1,3,10
2019-01-03 11:00:00,97.796,3,1,3,11
2019-01-03 12:00:00,102.18,3,1,3,12
2019-01-03 13:00:00,115.194,3,1,3,13
2019-01-03 14:00:00,108.833,3,1,3,14
2019-01-03 15:00:00,110.686,3,1,3,15
2019-01-03 16:00:00,114.102,3,1,3,16
2019-01-03 17:00:00,121.681,3,1,3,17
2019-01-03 18:00:00,143.134,3,1,3,18
2019-01-03 19:00:00,160.335,3,1,3,19
2019-01-03 20:00:00,157.299,3,1,3,20
2019-01-03 21:00:00,145.401,3,1,3,21
2019-01-03 22:00:00,138.891,3,1,3,22
2019-01-03 23:00:00,117.779,3,1,3,23
2019-01-04 00:00:00,100.198,4,1,4,0
2019-01-04 01:00:00,85.591,4,1,4,1
2019-01-04 02:00:00,70.737,4,1,4,2
2019-01-04 03:00:00,71.201,4,1,4,3
2019-01-04 04:00:00,71.615,4,1,4,4
2019-01-04 05:00:00,69.328,4,1,4,5
2019-01-04 06:00:00,78.078,4,1,4,6
2019-01-04 07:00:00,87.122,4,1,4,7
2019-01-04 08:00:00,94.774,4,1,4,8
2019-01-04 09:00:00,100.123,4,1,4,9
2019-01-04 10:00:00,101.413,4,1,4,10
2019-01-04 11:00:00,115.561,4,1,4,11
2019-01-04 12:00:00,109.829,4,1,4,12
2019-01-04 13:00:00,129.727,4,1,4,13
2019-01-04 14:00:00,131.481,4,1,4,14
2019-01-04 15:00:00,118.668,4,1,4,15
2019-01-04 16:00:00,136.43,4,1,4,16
2019-01-04 17:00:00,130.725,4,1,4,17
2019-01-04 18:00:00,152.82,4,1,4,18
2019-01-04 19:00:00,162.876,4,1,4,19
2019-01-04 20:00:00,160.005,4,1,4,20
2019-01-04 21:00:00,157.218,4,1,4,21
2019-01-04 22:00:00,132.431,4,1,4,22
2019-01-04 23:00:00,118.728,4,1,4,23
2019-01-05 00:00:00,100.452,5,1,5,0
2019-01-05 01:00:00,87.385,5,1,5,1
2019-01-05 02:00:00,75.199,5,1,5,2
2019-01-05 03:00:00,68.698,5,1,5,3
2019-01-05 04:00:00,70.838,5,1,5,4
2019-01-05 05:00:00,69.32,5,1,5,5
2019-01-05 06:00:00,74.438,5,1,5,6
2019-01-05 07:00:00,79.594,5,1,5,7
2019-01-05 08:00:00,90.622,5,1,5,8
2019-01-05 09:00:00,105.056,5,1,5,9
2019-01-05 10:00:00,116.913,5,1,5,10
2019-01-05 11:00:00,123.08,5,1,5,11
2019-01-05 12:00:00,139.807,5,1,5,12
2019-01-05 13:00:00,143.61,5,1,5,13
2019-01-05 14:00:00,148.154,5,1,5,14
2019-01-05 15:00:00,132.04,5,1,5,15
2019-01-05 16:00:00,125.651,5,1,5,16
2019-01-05 17:00:00,146.639,5,1,5,17
2019-01-05 18:00:00,167.676,5,1,5,18
2019-01-05 19:00:00,172.547,5,1,5,19
2019-01-05 20:00:00,155.688,5,1,5,20
2019-01-05 21:00:00,147.633,5,1,5,21
2019-01-05 22:00:00,124.368,5,1,5,22
2019-01-05 23:00:00,110.758,5,1,5,23
2019-01-06 00:00:00,99.997,6,1,6,0
2019-01-06 01:00:00,75.473,6,1,6,1
2019-01-06 02:00:00,68.367,6,1,6,2
2019-01-06 03:00:00,65.75,6,1,6,3
2019-01-06 04:00:00,61.446,6,1,6,4
2019-01-06 05:00:00,62.869,6,1,6,5
2019-01-06 06:00:00,61.387,6,1,6,6
2019-01-06 07:00:00,71.719,6,1,6,7
2019-01-06 08:00:00,81.078,6,1,6,8
2019-01-06 09:00:00,96.565,6,1,6,9
2019-01-06 10:00:00,113.636,6,1,6,10
2019-01-06 11:00:00,141.884,6,1,6,11
2019-01-06 12:00:00,160.839,6,1,6,12
2019-01-06 13:00:00,140.487,6,1,6,13
2019-01-06 14:00:00,140.502,6,1,6,14
2019-01-06 15:00:00,123.938,6,1,6,15
2019-01-06 16:00:00,132.226,6,1,6,16
2019-01-06 17:00:00,147.432,6,1,6,17
2019-01-06 18:00:00,162.641,6,1,6,18
2019-01-06 19:00:00,149.727,6,1,6,19
2019-01-06 20:00:00,141.362,6,1,6,20
2019-01-06 21:00:00,140.92,6,1,6,21
2019-01-06 22:00:00,122.137,6,1,6,22
2019-01-06 23:00:00,106.697,6,1,6,23
2019-01-07 00:00:00,86.482,7,1,0,0
2019-01-07 01:00:00,74.71,7,1,0,1
2019-01-07 02:00:00,65.322,7,1,0,2
2019-01-07 03:00:00,60.388,7,1,0,3
2019-01-07 04:00:00,57.976,7,1,0,4
2019-01-07 05:00:00,64.162,7,1,0,5
2019-01-07 06:00:00,68.28,7,1,0,6
2019-01-07 07:00:00,100.605,7,1,0,7
2019-01-07 08:00:00,107.795,7,1,0,8
2019-01-07 09:00:00,92.83,7,1,0,9
2019-01-07 10:00:00,89.612,7,1,0,10
2019-01-07 11:00:00,101.664,7,1,0,11
2019-01-07 12:00:00,100.614,7,1,0,12
2019-01-07 13:00:00,106.655,7,1,0,13
2019-01-07 14:00:00,102.468,7,1,0,14
2019-01-07 15:00:00,89.927,7,1,0,15
2019-01-07 16:00:00,103.107,7,1,0,16
2019-01-07 17:00:00,113.607,7,1,0,17
2019-01-07 18:00:00,147.818,7,1,0,18
2019-01-07 19:00:00,161.093,7,1,0,19
2019-01-07 20:00:00,160.914,7,1,0,20
2019-01-07 21:00:00,154.044,7,1,0,21
2019-01-07 22:00:00,142.427,7,1,0,22
2019-01-07 23:00:00,115.354,7,1,0,23
2019-01-08 00:00:00,94.732,8,1,1,0
2019-01-08 01:00:00,70.372,8,1,1,1
2019-01-08 02:00:00,67.55,8,1,1,2
2019-01-08 03:00:00,66.729,8,1,1,3
2019-01-08 04:00:00,61.173,8,1,1,4
2019-01-08 05:00:00,66.782,8,1,1,5
2019-01-08 06:00:00,74.622,8,1,1,6
2019-01-08 07:00:00,106.375,8,1,1,7
2019-01-08 08:00:00,113.799,8,1,1,8
2019-01-08 09:00:00,100.432,8,1,1,9
2019-01-08 10:00:00,104.249,8,1,1,10
2019-01-08 11:00:00,97.757,8,1,1,11
2019-01-08 12:00:00,111.563,8,1,1,12
2019-01-08 13:00:00,102.518,8,1,1,13
2019-01-08 14:00:00,109.497,8,1,1,14
2019-01-08 15:00:00,107.649,8,1,1,15
2019-01-08 16:00:00,105.028,8,1,1,16
2019-01-08 17:00:00,134.154,8,1,1,17
2019-01-08 18:00:00,148.025,8,1,1,18
2019-01-08 19:00:00,157.626,8,1,1,19
2019-01-08 20:00:00,156.038,8,1,1,20
2019-01-08 21:00:00,150.992,8,1,1,21
2019-01-08 22:00:00,128.141,8,1,1,22
2019-01-08 23:00:00,119.244,8,1,1,23
2019-01-09 00:00:00,91.525,9,1,2,0
2019-01-09 01:00:00,75.697,9,1,2,1
2019-01-09 02:00:00,62.707,9,1,2,2
2019-01-09 03:00:00,61.709,9,1,2,3
2019-01-09 04:00:00,63.594,9,1,2,4
2019-01-09 05:00:00,61.952,9,1,2,5
2019-01-09 06:00:00,74.913,9,1,2,6
2019-01-09 07:00:00,103.002,9,1,2,7
2019-01-09 08:00:00,116.6,9,1,2,8
2019-01-09 09:00:00,100.998,9,1,2,9
2019-01-09 10:00:00,97.6,9,1,2,10
2019-01-09 11:00:00,105.709,9,1,2,11
2019-01-09 12:00:00,102.956,9,1,2,12
2019-01-09 13:00:00,114.357,9,1,2,13
2019-01-09 14:00:00,111.725,9,1,2,14
2019-01-09 15:00:00,104.226,9,1,2,15
2019-01-09 16:00:00,103.892,9,1,2,16
2019-01-09 17:00:00,119.277,9,1,2,17
2019-01-09 18:00:00,149.571,9,1,2,18
2019-01-09 19:00:00,168.103,9,1,2,19
2019-01-09 20:00:00,155.367,9,1,2,20
2019-01-09 21:00:00,141.898,9,1,2,21
2019-01-09 22:00:00,129.859,9,1,2,22
2019-01-09 23:00:00,114.783,9,1,2,23
2019-01-10 00:00:00,93.34,10,1,3,0
2019-01-10 01:00:00,79.561,10,1,3,1
2019-01-10 02:00:00,61.28,10,1,3,2
2019-01-10 03:00:00,61.559,10,1,3,3
2019-01-10 04:00:00,63.751,10,1,3,4
2019-01-10 05:00:00,62.584,10,1,3,5
2019-01-10 06:00:00,70.811,10,1,3,6
2019-01-10 07:00:00,104.454,10,1,3,7
2019-01-10 08:00:00,116.624,10,1,3,8
2019-01-10 09:00:00,98.568,10,1,3,9
2019-01-10 10:00:00,91.162,10,1,3,10
2019-01-10 11:00:00,95.376,10,1,3,11
2019-01-10 12:00:00,87.228,10,1,3,12
2019-01-10 13:00:00,105.628,10,1,3,13
2019-01-10 14:00:00,106.972,10,1,3,14
2019-01-10 15:00:00,106.1,10,1,3,15
2019-01-10 16:00:00,102.627,10,1,3,16
2019-01-10 17:00:00,118.379,10,1,3,17
2019-01-10 18:00:00,137.997,10,1,3,18
2019-01-10 19:00:00,169.066,10,1,3,19
2019-01-10 20:00:00,163.83,10,1,3,20
2019-01-10 21:00:00,146.202,10,1,3,21
2019-01-10 22:00:00,121.17,10,1,3,22
2019-01-10 23:00:00,111.643,10,1,3,23
2019-01-11 00:00:00,90.006,11,1,4,0
2019-01-11 01:00:00,76.029,11,1,4,1
2019-01-11 02:00:00,68.583,11,1,4,2
2019-01-11 03:00:00,68.856,11,1,4,3
2019-01-11 04:00:00,61.704,11,1,4,4
2019-01-11 05:00:00,67.647,11,1,4,5
2019-01-11 06:00:00,74.861,11,1,4,6
2019-01-11 07:00:00,108.161,11,1,4,7
2019-01-11 08:00:00,115.304,11,1,4,8
2019-01-11 09:00:00,114.113,11,1,4,9
2019-01-11 10:00:00,108.274,11,1,4,10
2019-01-11 11:00:00,107.791,11,1,4,11
2019-01-11 12:00:00,97.688,11,1,4,12
2019-01-11 13:00:00,112.189,11,1,4,13
2019-01-11 14:00:00,118.235,11,1,4,14
2019-01-11 15:00:00,104.185,11,1,4,15
2019-01-11 16:00:00,116.836,11,1,4,16
2019-01-11 17:00:00,127.323,11,1,4,17
2019-01-11 18:00:00,153.71,11,1,4,18
2019-01-11 19:00:00,170.456,11,1,4,19
2019-01-11 20:00:00,154.612,11,1,4,20
2019-01-11 21:00:00,140.79,11,1,4,21
2019-01-11 22:00:00,134.811,11,1,4,22
2019-01-11 23:00:00,111.11,11,1,4,23
2019-01-12 00:00:00,93.553,12,1,5,0
2019-01-12 01:00:00,80.952,12,1,5,1
2019-01-12 02:00:00,73.286,12,1,5,2
2019-01-12 03:00:00,63.662,12,1,5,3
2019-01-12 04:00:00,60.506,12,1,5,4
2019-01-12 05:00:00,62.13,12,1,5,5
2019-01-12 06:00:00,63.543,12,1,5,6
2019-01-12 07:00:00,80.692,12,1,5,7
2019-01-12 08:00:00,93.35,12,1,5,8
2019-01-12 09:00:00,119.844,12,1,5,9
2019-01-12 10:00:00,122.517,12,1,5,10
2019-01-12 11:00:00,138.424,12,1,5,11
2019-01-12 12:00:00,145.173,12,1,5,12
2019-01-12 13:00:00,145.449,12,1,5,13
2019-01-12 14:00:00,151.355,12,1,5,14
2019-01-12 15:00:00,140.583,12,1,5,15
2019-01-12 16:00:00,126.973,12,1,5,16
2019-01-12 17:00:00,143.091,12,1,5,17
2019-01-12 18:00:00,169.561,12,1,5,18
2019-01-12 19:00:00,160.963,12,1,5,19
2019-01-12 20:00:00,149.32,12,1,5,20
2019-01-12 21:00:00,140.802,12,1,5,21
2019-01-12 22:00:00,131.132,12,1,5,22
2019-01-12 23:00:00,118.084,12,1,5,23
2019-01-13 00:00:00,102.001,13,1,6,0
2019-01-13 01:00:00,82.27,13,1,6,1
2019-01-13 02:00:00,69.67,13,1,6,2
2019-01-13 03:00:00,66.785,13,1,6,3
2019-01-13 04:00:00,63.94,13,1,6,4
2019-01-13 05:00:00,61.878,13,1,6,5
2019-01-13 06:00:00,67.187,13,1,6,6
2019-01-13 07:00:00,71.136,13,1,6,7
2019-01-13 08:00:00,80.021,13,1,6,8
2019-01-13 09:00:00,106.61,13,1,6,9
2019-01-13 10:00:00,127.245,13,1,6,10
2019-01-13 11:00:00,147.035,13,1,6,11
2019-01-13 12:00:00,182.87,13,1,6,12
2019-01-13 13:00:00,162.142,13,1,6,13
2019-01-13 14:00:00,154.119,13,1,6,14
2019-01-13 15:00:00,129.396,13,1,6,15
2019-01-13 16:00:00,115.403,13,1,6,16
2019-01-13 17:00:00,140.949,13,1,6,17
2019-01-13 18:00:00,161.729,13,1,6,18
2019-01-13 19:00:00,153.941,13,1,6,19
2019-01-13 20:00:00,156.628,13,1,6,20
2019-01-13 21:00:00,147.193,13,1,6,21
2019-01-13 22:00:00,127.087,13,1,6,22
2019-01-13 23:00:00,112.696,13,1,6,23
2019-01-14 00:00:00,92.643,14,1,0,0
2019-01-14 01:00:00,70.465,14,1,0,1
2019-01-14 02:00:00,65.479,14,1,0,2
2019-01-14 03:00:00,59.571,14,1,0,3
2019-01-14 04:00:00,59.215,14,1,0,4
2019-01-14 05:00:00,68.345,14,1,0,5
2019-01-14 06:00:00,76.326,14,1,0,6
2019-01-14 07:00:00,99.912,14,1,0,7
2019-01-14 08:00:00,114.821,14,1,0,8
2019-01-14 09:00:00,92.18,14,1,0,9
2019-01-14 10:00:00,89.135,14,1,0,10
2019-01-14 11:00:00,88.973,14,1,0,11
2019-01-14 12:00:00,92.205,14,1,0,12
2019-01-14 13:00:00,99.511,14,1,0,13
2019-01-14 14:00:00,104.483,14,1,0,14
2019-01-14 15:00:00,103.012,14,1,0,15
2019-01-14 16:00:00,103.933,14,1,0,16
2019-01-14 17:00:00,98.221,14,1,0,17
2019-01-14 18:00:00,134.544,14,1,0,18
2019-01-14 19:00:00,157.966,14,1,0,19
2019-01-14 20:00:00,141.974,14,1,0,20
2019-01-14 21:00:00,138.53,14,1,0,21
2019-01-14 22:00:00,123.595,14,1,0,22
2019-01-14 23:00:00,108.843,14,1,0,23
2019-01-15 00:00:00,81.717,15,1,1,0
2019-01-15 01:00:00,69.507,15,1,1,1
2019-01-15 02:00:00,59.892,15,1,1,2
2019-01-15 03:00:00,57.564,15,1,1,3
2019-01-15 04:00:00,59.339,15,1,1,4
2019-01-15 05:00:00,62.443,15,1,1,5
2019-01-15 06:00:00,66.843,15,1,1,6
2019-01-15 07:00:00,100.619,15,1,1,7
2019-01-15 08:00:00,109.022,15,1,1,8
2019-01-15 09:00:00,101.411,15,1,1,9
2019-01-15 10:00:00,107.738,15,1,1,10
2019-01-15 11:00:00,104.781,15,1,1,11
2019-01-15 12:00:00,100.204,15,1,1,12
2019-01-15 13:00:00,107.018,15,1,1,13
2019-01-15 14:00:00,99.993,15,1,1,14
2019-01-15 15:00:00,86.856,15,1,1,15
2019-01-15 16:00:00,109.542,15,1,1,16
2019-01-15 17:00:00,114.644,15,1,1,17
2019-01-15 18:00:00,137.276,15,1,1,18
2019-01-15 19:00:00,165.657,15,1,1,19
2019-01-15 20:00:00,146.904,15,1,1,20
2019-01-15 21:00:00,134.224,15,1,1,21
2019-01-15 22:00:00,143.18,15,1,1,22
2019-01-15 23:00:00,112.569,15,1,1,23
2019-01-16 00:00:00,90.258,16,1,2,0
2019-01-16 01:00:00,75.6,16,1,2,1
2019-01-16 02:00:00,62.923,16,1,2,2
2019-01-16 03:00:00,59.09,16,1,2,3
2019-01-16 04:00:00,58.885,16,1,2,4
2019-01-16 05:00:00,65.943,16,1,2,5
2019-01-16 06:00:00,73.299,16,1,2,6
2019-01-16 07:00:00,100.107,16,1,2,7
2019-01-16 08:00:00,112.151,16,1,2,8
2019-01-16 09:00:00,96.089,16,1,2,9
2019-01-16 10:00:00,88.48,16,1,2,10
2019-01-16 11:00:00,85.593,16,1,2,11
2019-01-16 12:00:00,93.62,16,1,2,12
2019-01-16 13:00:00,96.28,16,1,2,13
2019-01-16 14:00:00,91.25,16,1,2,14
2019-01-16 15:00:00,93.723,16,1,2,15
2019-01-16 16:00:00,91.185,16,1,2,16
2019-01-16 17:00:00,102.257,16,1,2,17
2019-01-16 18:00:00,141.472,16,1,2,18
2019-01-16 19:00:00,168.328,16,1,2,19
2019-01-16 20:00:00,145.12,16,1,2,20
2019-01-16 21:00:00,133.412,16,1,2,21
2019-01-16 22:00:00,124.398,16,1,2,22
2019-01-16 23:00:00,106.366,16,1,2,23
2019-01-17 00:00:00,82.221,17,1,3,0
2019-01-17 01:00:00,77.694,17,1,3,1
2019-01-17 02:00:00,65.295,17,1,3,2
2019-01-17 03:00:00,63.878,17,1,3,3
2019-01-17 04:00:00,62.391,17,1,3,4
2019-01-17 05:00:00,62.46,17,1,3,5
2019-01-17 06:00:00,71.933,17,1,3,6
2019-01-17 07:00:00,96.181,17,1,3,7
2019-01-17 08:00:00,117.852,17,1,3,8
2019-01-17 09:00:00,96.203,17,1,3,9
2019-01-17 10:00:00,91.043,17,1,3,10
2019-01-17 11:00:00,96.06,17,1,3,11
2019-01-17 12:00:00,98.419,17,1,3,12
2019-01-17 13:00:00,98.502,17,1,3,13
2019-01-17 14:00:00,103.708,17,1,3,14
2019-01-17 15:00:00,101.581,17,1,3,15
2019-01-17 16:00:00,93.976,17,1,3,16
2019-01-17 17:00:00,95.403,17,1,3,17
2019-01-17 18:00:00,133.535,17,1,3,18
2019-01-17 19:00:00,154.902,17,1,3,19
2019-01-17 20:00:00,150.849,17,1,3,20
2019-01-17 21:00:00,136.58,17,1,3,21
2019-01-17 22:00:00,123.971,17,1,3,22
2019-01-17 23:00:00,106.727,17,1,3,23
2019-01-18 00:00:00,85.031,18,1,4,0
2019-01-18 01:00:00,76.115,18,1,4,1
2019-01-18 02:00:00,65.093,18,1,4,2
2019-01-18 03:00:00,61.032,18,1,4,3
2019-01-18 04:00:00,59.458,18,1,4,4
2019-01-18 05:00:00,67.699,18,1,4,5
2019-01-18 06:00:00,70.355,18,1,4,6
2019-01-18 07:00:00,100.685,18,1,4,7
2019-01-18 08:00:00,117.179,18,1,4,8
2019-01-18 09:00:00,107.187,18,1,4,9
2019-01-18 10:00:00,97.583,18,1,4,10
2019-01-18 11:00:00,92.774,18,1,4,11
2019-01-18 12:00:00,95.569,18,1,4,12
2019-01-18 13:00:00,91.441,18,1,4,13
2019-01-18 14:00:00,104.409,18,1,4,14
2019-01-18 15:00:00,88.782,18,1,4,15
2019-01-18 16:00:00,102.991,18,1,4,16
2019-01-18 17:00:00,111.761,18,1,4,17
2019-01-18 18:00:00,138.752,18,1,4,18
2019-01-18 19:00:00,148.498,18,1,4,19
2019-01-18 20:00:00,143.042,18,1,4,20
2019-01-18 21:00:00,131.37,18,1,4,21
2019-01-18 22:00:00,120.976,18,1,4,22
2019-01-18 23:00:00,107.743,18,1,4,23
2019-01-19 00:00:00,88.279,19,1,5,0
2019-01-19 01:00:00,83.944,19,1,5,1
2019-01-19 02:00:00,66.571,19,1,5,2
2019-01-19 03:00:00,64.336,19,1,5,3
2019-01-19 04:00:00,60.394,19,1,5,4
2019-01-19 05:00:00,62.151,19,1,5,5
2019-01-19 06:00:00,63.355,19,1,5,6
2019-01-19 07:00:00,81.54,19,1,5,7
2019-01-19 08:00:00,101.926,19,1,5,8
2019-01-19 09:00:00,103.545,19,1,5,9
2019-01-19 10:00:00,115.008,19,1,5,10
2019-01-19 11:00:00,120.299,19,1,5,11
2019-01-19 12:00:00,126.025,19,1,5,12
2019-01-19 13:00:00,137.695,19,1,5,13
2019-01-19 14:00:00,120.885,19,1,5,14
2019-01-19 15:00:00,119.287,19,1,5,15
2019-01-19 16:00:00,114.894,19,1,5,16
2019-01-19 17:00:00,132.247,19,1,5,17
2019-01-19 18:00:00,143.252,19,1,5,18
2019-01-19 19:00:00,149.689,19,1,5,19
2019-01-19 20:00:00,136.973,19,1,5,20
2019-01-19 21:00:00,127.368,19,1,5,21
2019-01-19 22:00:00,123.956,19,1,5,22
2019-01-19 23:00:00,113.946,19,1,5,23
2019-01-20 00:00:00,102.884,20,1,6,0
2019-01-20 01:00:00,89.99,20,1,6,1
2019-01-20 02:00:00,79.15,20,1,6,2
2019-01-20 03:00:00,76.282,20,1,6,3
2019-01-20 04:00:00,71.95,20,1,6,4
2019-01-20 05:00:00,70.356,20,1,6,5
2019-01-20 06:00:00,65.269,20,1,6,6
2019-01-20 07:00:00,76.293,20,1,6,7
2019-01-20 08:00:00,83.155,20,1,6,8
2019-01-20 09:00:00,98.898,20,1,6,9
2019-01-20 10:00:00,129.923,20,1,6,10
2019-01-20 11:00:00,135.346,20,1,6,11
2019-01-20 12:00:00,157.973,20,1,6,12
2019-01-20 13:00:00,142.873,20,1,6,13
2019-01-20 14:00:00,125.725,20,1,6,14
2019-01-20 15:00:00,115.614,20,1,6,15
2019-01-20 16:00:00,134.164,20,1,6,16
2019-01-20 17:00:00,115.917,20,1,6,17
2019-01-20 18:00:00,139.859,20,1,6,18
2019-01-20 19:00:00,146.791,20,1,6,19
2019-01-20 20:00:00,148.211,20,1,6,20
2019-01-20 21:00:00,135.866,20,1,6,21
2019-01-20 22:00:00,127.017,20,1,6,22
2019-01-20 23:00:00,120.478,20,1,6,23
2019-01-21 00:00:00,90.654,21,1,0,0
2019-01-21 01:00:00,76.508,21,1,0,1
2019-01-21 02:00:00,70.217,21,1,0,2
2019-01-21 03:00:00,64.885,21,1,0,3
2019-01-21 04:00:00,65.619,21,1,0,4
2019-01-21 05:00:00,66.859,21,1,0,5
2019-01-21 06:00:00,74.34,21,1,0,6
2019-01-21 07:00:00,97.094,21,1,0,7
2019-01-21 08:00:00,113.552,21,1,0,8
2019-01-21 09:00:00,92.253,21,1,0,9
2019-01-21 10:00:00,91.777,21,1,0,10
2019-01-21 11:00:00,89.057,21,1,0,11
2019-01-21 12:00:00,90.581,21,1,0,12
2019-01-21 13:00:00,98.103,21,1,0,13
2019-01-21 14:00:00,101.908,21,1,0,14
2019-01-21 15:00:00,101.202,21,1,0,15
2019-01-21 16:00:00,105.483,21,1,0,16
2019-01-21 17:00:00,106.211,21,1,0,17
2019-01-21 18:00:00,134.981,21,1,0,18
2019-01-21 19:00:00,144.487,21,1,0,19
2019-01-21 20:00:00,146.055,21,1,0,20
2019-01-21 21:00:00,138.3,21,1,0,21
2019-01-21 22:00:00,126.955,21,1,0,22
2019-01-21 23:00:00,120.79,21,1,0,23
2019-01-22 00:00:00,93.857,22,1,1,0
2019-01-22 01:00:00,77.337,22,1,1,1
2019-01-22 02:00:00,71.757,22,1,1,2
2019-01-22 03:00:00,70.847,22,1,1,3
2019-01-22 04:00:00,66.553,22,1,1,4
2019-01-22 05:00:00,72.146,22,1,1,5
2019-01-22 06:00:00,75.84,22,1,1,6
2019-01-22 07:00:00,105.349,22,1,1,7
2019-01-22 08:00:00,120.313,22,1,1,8
2019-01-22 09:00:00,111.406,22,1,1,9
2019-01-22 10:00:00,94.02,22,1,1,10
2019-01-22 11:00:00,97.592,22,1,1,11
2019-01-22 12:00:00,100.871,22,1,1,12
2019-01-22 13:00:00,106.898,22,1,1,13
2019-01-22 14:00:00,98.433,22,1,1,14
2019-01-22 15:00:00,99.886,22,1,1,15
